event_id,cap,stato_estero
SEND_ANALOG_DOMICILE.IUN_JKZR-MRAN-MWRZ-202307-R-1.RECINDEX_0.ATTEMPT_0,27018,NA
SEND_ANALOG_DOMICILE.IUN_PHDN-ZYTW-JNEH-202307-W-1.RECINDEX_0.ATTEMPT_0,47842,NA
SEND_ANALOG_DOMICILE.IUN_QYUQ-VDXW-ARVL-202307-G-1.RECINDEX_0.ATTEMPT_0,27050,NA
SEND_ANALOG_DOMICILE.IUN_RWPH-UKMW-TWTU-202307-M-1.RECINDEX_0.ATTEMPT_0,47921,NA
SEND_ANALOG_DOMICILE.IUN_XEMJ-PGJG-VAKQ-202307-Q-1.RECINDEX_0.ATTEMPT_0,47826,NA
SEND_ANALOG_DOMICILE.IUN_XUPT-AYND-RKZE-202307-L-1.RECINDEX_0.ATTEMPT_0,20131,NA
SEND_ANALOG_DOMICILE.IUN_GRKW-GDXL-KWKW-202309-X-1.RECINDEX_0.ATTEMPT_0,73018,NA
SEND_ANALOG_DOMICILE.IUN_AZNY-GDZW-AHRM-202307-V-1.RECINDEX_0.ATTEMPT_0,55045,NA
SEND_ANALOG_DOMICILE.IUN_TXKA-HKRJ-MREY-202307-N-1.RECINDEX_0.ATTEMPT_0,12100,NA
SEND_ANALOG_DOMICILE.IUN_RTPM-NEJA-WRLD-202307-D-1.RECINDEX_0.ATTEMPT_0,16011,NA
SEND_ANALOG_DOMICILE.IUN_RTPM-NEJA-WRLD-202307-D-1.RECINDEX_0.ATTEMPT_1,16011,NA
SEND_ANALOG_DOMICILE.IUN_ADVX-NMNG-PGAQ-202307-R-1.RECINDEX_0.ATTEMPT_0,71010,NA
SEND_ANALOG_DOMICILE.IUN_PTNX-ZQEV-HJAT-202307-H-1.RECINDEX_0.ATTEMPT_0,22063,NA
SEND_ANALOG_DOMICILE.IUN_WYNP-DTZU-NLHR-202307-Y-1.RECINDEX_0.ATTEMPT_0,91025,NA
SEND_ANALOG_DOMICILE.IUN_RMYU-GJVX-RJGZ-202307-X-1.RECINDEX_0.ATTEMPT_0,91027,NA
SEND_ANALOG_DOMICILE.IUN_JDKL-UKHE-ZDME-202307-D-1.RECINDEX_0.ATTEMPT_0,47924,NA
SEND_ANALOG_DOMICILE.IUN_MNGW-KRYK-UARY-202307-M-1.RECINDEX_0.ATTEMPT_0,47822,NA
SEND_ANALOG_DOMICILE.IUN_DKJM-KYND-NGHK-202307-E-1.RECINDEX_0.ATTEMPT_0,20812,NA
SEND_ANALOG_DOMICILE.IUN_QPZM-YKZD-QVJV-202307-H-1.RECINDEX_0.ATTEMPT_0,47921,NA
SEND_ANALOG_DOMICILE.IUN_LVDQ-HJDN-ZDYV-202307-R-1.RECINDEX_0.ATTEMPT_0,80026,NA
SEND_ANALOG_DOMICILE.IUN_LPGD-QAGL-JHJT-202307-V-1.RECINDEX_0.ATTEMPT_0,24030,NA
SEND_ANALOG_DOMICILE.IUN_LPGD-QAGL-JHJT-202307-V-1.RECINDEX_0.ATTEMPT_1,24040,NA
SEND_ANALOG_DOMICILE.IUN_HDPK-DGQL-QVMJ-202307-M-1.RECINDEX_0.ATTEMPT_0,43056,NA
SEND_ANALOG_DOMICILE.IUN_XGDH-WQUZ-QKHM-202307-A-1.RECINDEX_0.ATTEMPT_0,98152,NA
SEND_ANALOG_DOMICILE.IUN_HMLY-WDAV-NPKA-202307-A-1.RECINDEX_0.ATTEMPT_0,47824,NA
SEND_ANALOG_DOMICILE.IUN_UPMU-PTWE-LWAZ-202307-V-1.RECINDEX_0.ATTEMPT_0,27043,NA
SEND_ANALOG_DOMICILE.IUN_TVPT-HQAW-LUYL-202307-U-1.RECINDEX_0.ATTEMPT_0,70024,NA
SEND_ANALOG_DOMICILE.IUN_TRYV-RWGA-PQXU-202307-L-1.RECINDEX_0.ATTEMPT_0,71016,NA
SEND_ANALOG_DOMICILE.IUN_PRWZ-HMAE-NKEY-202307-R-1.RECINDEX_0.ATTEMPT_0,27043,NA
