geo_key,product_type,recapitista,cons_costo_base,const_costo_foglio_agg,peso_max_20g,peso_max_50g,peso_max_100g,peso_max_250g,peso_max_350g,peso_max_1000g,peso_max_2000g
00189,RS,Poste,0,3,214,261,298,340,372,446,533
00191,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00191,AR,Poste,0,3,352,399,436,478,510,584,672
00191,RS,Poste,0,3,214,261,298,340,372,446,533
00192,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00192,AR,Poste,0,3,352,399,436,478,510,584,672
00192,RS,Poste,0,3,214,261,298,340,372,446,533
00193,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00193,AR,Poste,0,3,352,399,436,478,510,584,672
00193,RS,Poste,0,3,214,261,298,340,372,446,533
00195,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00195,AR,Poste,0,3,352,399,436,478,510,584,672
00195,RS,Poste,0,3,214,261,298,340,372,446,533
00196,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00196,AR,Poste,0,3,352,399,436,478,510,584,672
00196,RS,Poste,0,3,214,261,298,340,372,446,533
00197,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00197,AR,Poste,0,3,352,399,436,478,510,584,672
00197,RS,Poste,0,3,214,261,298,340,372,446,533
00198,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00198,AR,Poste,0,3,352,399,436,478,510,584,672
00198,RS,Poste,0,3,214,261,298,340,372,446,533
00199,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00199,AR,Poste,0,3,352,399,436,478,510,584,672
00199,RS,Poste,0,3,214,261,298,340,372,446,533
01010,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01010,AR,Poste,0,3,440,511,548,589,622,696,783
01010,RS,Poste,0,3,302,372,409,451,483,557,645
01011,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01011,AR,Poste,0,3,440,511,548,589,622,696,783
01011,RS,Poste,0,3,302,372,409,451,483,557,645
01012,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01012,AR,Poste,0,3,440,511,548,589,622,696,783
01012,RS,Poste,0,3,302,372,409,451,483,557,645
01014,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01014,AR,Poste,0,3,440,511,548,589,622,696,783
01014,RS,Poste,0,3,302,372,409,451,483,557,645
01015,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01015,AR,Poste,0,3,440,511,548,589,622,696,783
01015,RS,Poste,0,3,302,372,409,451,483,557,645
01016,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01016,AR,Poste,0,3,440,511,548,589,622,696,783
01016,RS,Poste,0,3,302,372,409,451,483,557,645
01017,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01017,AR,Poste,0,3,440,511,548,589,622,696,783
01017,RS,Poste,0,3,302,372,409,451,483,557,645
01018,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01018,AR,Poste,0,3,440,511,548,589,622,696,783
01018,RS,Poste,0,3,302,372,409,451,483,557,645
01019,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01019,AR,Poste,0,3,440,511,548,589,622,696,783
01019,RS,Poste,0,3,302,372,409,451,483,557,645
01020,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01020,AR,Poste,0,3,440,511,548,589,622,696,783
01020,RS,Poste,0,3,302,372,409,451,483,557,645
01021,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01021,AR,Poste,0,3,440,511,548,589,622,696,783
01021,RS,Poste,0,3,302,372,409,451,483,557,645
01022,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01022,AR,Poste,0,3,440,511,548,589,622,696,783
01022,RS,Poste,0,3,302,372,409,451,483,557,645
01023,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01023,AR,Poste,0,3,440,511,548,589,622,696,783
01023,RS,Poste,0,3,302,372,409,451,483,557,645
01024,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01024,AR,Poste,0,3,440,511,548,589,622,696,783
01024,RS,Poste,0,3,302,372,409,451,483,557,645
01025,890,Poste,0,3,800,958,958,1033,1033,1130,1130
01025,AR,Poste,0,3,440,511,548,589,622,696,783
01025,RS,Poste,0,3,302,372,409,451,483,557,645
